aX,aY,aZ,gX,gY,gZ
-0.3825,-9.8635,1.2013,2.24,-1.05,-0.14
-0.3736,-9.8684,1.1729,2.17,-1.12,-0.14
-0.3923,-9.8586,1.2062,2.24,-1.26,-0.07
-0.4021,-9.8586,1.2013,2.38,-1.12,-0.14
-0.3972,-9.8635,1.2013,2.24,-1.12,0.0
-0.3785,-9.839,1.2062,2.17,-1.19,-0.14
-0.3874,-9.8537,1.1915,2.1,-1.33,-0.14
-0.3825,-9.8537,1.1866,2.31,-1.12,-0.14
-0.3874,-9.8488,1.2013,2.24,-1.19,-0.14
-0.3785,-9.8537,1.1768,2.24,-1.12,-0.21
-0.3874,-9.8537,1.1817,2.31,-1.26,-0.21
-0.3874,-9.8635,1.1915,2.17,-1.05,-0.21
-0.3785,-9.8773,1.2062,2.1,-1.12,-0.21
-0.3825,-9.8586,1.1915,2.24,-1.26,-0.21
-0.3825,-9.8488,1.2013,2.38,-1.05,-0.21
-0.3825,-9.8635,1.1915,2.17,-1.19,-0.14
-0.3785,-9.8586,1.1866,2.17,-1.19,-0.14
-0.3923,-9.8684,1.1866,2.1,-1.26,-0.07
-0.3972,-9.8439,1.1866,2.24,-1.12,-0.07
-0.3874,-9.8537,1.1915,2.31,-1.12,-0.21
-0.3825,-9.8537,1.2013,2.31,-1.19,-0.14
-0.3589,-9.8439,1.2013,2.24,-1.19,-0.07
-0.3785,-9.8488,1.2062,2.24,-1.26,-0.07
-0.3923,-9.8635,1.2013,2.17,-1.26,-0.14
-0.3687,-9.8439,1.168,2.31,-1.05,0.0
-0.354,-9.8724,1.1817,2.38,-0.91,-0.14
-0.3972,-9.8635,1.2013,2.38,-1.05,0.0
-0.3589,-9.8341,1.2062,2.17,-1.12,0.07
-0.3874,-9.8724,1.216,1.96,-1.19,0.0
-0.3736,-9.8586,1.1964,2.1,-1.12,-0.07
-0.3785,-9.8684,1.2013,2.24,-1.12,0.07
-0.3736,-9.8537,1.1866,2.45,-1.05,-0.07
-0.3785,-9.8586,1.2013,2.17,-1.05,-0.21
-0.3785,-9.8537,1.2013,2.03,-1.12,0.0
-0.3785,-9.8439,1.1729,2.03,-1.26,-0.14
-0.3825,-9.8684,1.1817,1.96,-1.26,0.0
-0.4021,-9.8439,1.1768,2.24,-1.19,-0.21
-0.3687,-9.8586,1.1729,2.52,-1.19,0.0
-0.3638,-9.8586,1.2062,2.45,-1.05,-0.07
-0.3972,-9.8439,1.1964,2.17,-1.19,-0.21
-0.3923,-9.8684,1.2062,2.17,-1.19,-0.07
-0.3972,-9.8488,1.2111,2.31,-1.26,-0.14
-0.3923,-9.8537,1.2013,2.38,-1.26,-0.21
-0.3923,-9.8439,1.2298,2.52,-1.12,-0.28
-0.3638,-9.8488,1.1964,2.31,-1.12,-0.07
-0.3687,-9.8488,1.2062,2.17,-1.26,-0.14
-0.3785,-9.8488,1.1964,2.17,-1.26,-0.14
-0.3972,-9.8635,1.1866,2.1,-1.33,-0.21
-0.3825,-9.8586,1.1729,2.24,-1.26,-0.14
-0.3825,-9.8684,1.1964,2.17,-1.19,-0.28
-0.3825,-9.839,1.1915,2.24,-1.19,-0.07
-0.3825,-9.8635,1.2013,2.24,-1.12,-0.14
-0.407,-9.8586,1.2111,2.17,-1.05,-0.21
-0.3923,-9.8724,1.1866,2.17,-1.12,-0.21
-0.3923,-9.8341,1.2111,2.17,-1.33,-0.28
-0.3589,-9.8635,1.1964,2.38,-1.19,0.0
-0.3923,-9.8684,1.2062,2.38,-1.12,-0.14
-0.3687,-9.8635,1.2111,2.1,-1.19,-0.07
-0.3687,-9.8302,1.2062,1.96,-1.12,-0.14
-0.3874,-9.8586,1.1915,2.03,-1.05,-0.07
-0.3785,-9.8724,1.168,1.96,-1.12,-0.07
-0.3638,-9.8586,1.1817,2.24,-1.33,0.0
-0.3785,-9.8684,1.1768,2.59,-0.98,-0.07
-0.3785,-9.8341,1.1915,2.45,-1.19,0.0
-0.3589,-9.8537,1.2062,2.1,-1.12,0.0
-0.3923,-9.8439,1.2013,2.03,-0.91,-0.07
-0.3736,-9.8537,1.1817,2.17,-1.12,-0.07
-0.3972,-9.8822,1.1768,2.31,-1.12,0.0
-0.3785,-9.8724,1.2013,2.38,-1.05,-0.07
-0.3825,-9.8341,1.2249,2.24,-0.98,-0.07
-0.3923,-9.8488,1.1964,2.1,-1.19,-0.07
-0.3785,-9.8537,1.1729,1.96,-1.19,-0.07
-0.3736,-9.8537,1.1866,2.1,-1.12,-0.07
-0.3972,-9.8586,1.2013,2.24,-1.19,0.14
-0.3785,-9.8302,1.1915,2.31,-1.26,-0.21
-0.3923,-9.8586,1.216,2.1,-1.12,-0.21
-0.3825,-9.8537,1.1915,2.17,-1.19,-0.21
-0.3874,-9.8488,1.2062,2.38,-1.19,-0.21
-0.3972,-9.8684,1.1964,2.38,-1.05,-0.21
-0.3825,-9.8537,1.2062,2.1,-1.26,-0.14
-0.3785,-9.8586,1.1915,1.96,-1.19,-0.21
-0.3825,-9.8871,1.2111,2.03,-1.12,-0.14
-0.3687,-9.8684,1.1768,2.17,-1.26,-0.14
-0.3736,-9.8773,1.1915,2.45,-1.12,-0.14
-0.3874,-9.8488,1.1964,2.31,-1.26,-0.14
-0.3638,-9.8537,1.2062,2.17,-1.19,-0.14
-0.3825,-9.8302,1.1866,2.1,-1.05,-0.07
-0.3874,-9.8684,1.1964,1.96,-1.19,-0.07
-0.3785,-9.8488,1.1817,2.17,-1.4,-0.14
-0.3785,-9.8488,1.1915,2.31,-1.12,-0.14
-0.3874,-9.8586,1.216,2.38,-0.98,-0.07
-0.3638,-9.8341,1.2062,2.24,-1.05,-0.07
-0.3825,-9.8302,1.1866,1.96,-1.12,-0.07
-0.3825,-9.8684,1.2199,2.17,-1.12,-0.07
-0.3874,-9.8724,1.2111,2.17,-1.33,0.0
-0.354,-9.8488,1.1866,2.31,-1.12,0.0
-0.3923,-9.8439,1.1817,2.31,-1.19,-0.14
-0.3785,-9.8635,1.2062,2.17,-1.12,-0.07
-0.3923,-9.8586,1.1866,2.03,-1.12,-0.14
-0.3638,-9.8439,1.1915,2.24,-1.19,-0.07
-0.3785,-9.8635,1.1729,2.31,-1.26,-0.14
-0.3972,-9.8586,1.2013,2.31,-1.12,-0.07
-0.3825,-9.8488,1.2013,2.17,-1.12,-0.14
-0.3825,-9.8635,1.2013,2.24,-1.05,-0.14
-0.4021,-9.8488,1.216,2.31,-1.19,-0.07
-0.3874,-9.8724,1.216,2.17,-1.26,-0.07
-0.3923,-9.8488,1.2062,2.31,-1.05,-0.14
-0.3972,-9.8635,1.1964,2.17,-1.05,-0.21
-0.3687,-9.8439,1.1964,2.31,-1.12,-0.28
-0.3874,-9.8488,1.1866,2.17,-1.05,-0.21
-0.3638,-9.8586,1.1915,2.17,-1.12,-0.14
-0.3972,-9.8586,1.1964,2.31,-1.26,-0.21
-0.3687,-9.8684,1.1964,2.17,-1.33,-0.21
-0.3736,-9.8586,1.1729,2.38,-1.19,-0.28
-0.3736,-9.8537,1.1915,2.45,-1.05,-0.35
-0.4207,-9.8488,1.1915,2.38,-1.12,-0.14
-0.3785,-9.8537,1.2062,2.24,-1.05,-0.28
-0.3736,-9.8439,1.1915,2.24,-1.12,-0.14
-0.3785,-9.8488,1.1768,2.17,-1.05,-0.14
-0.3923,-9.8635,1.1866,2.24,-1.12,-0.14
-0.3874,-9.8341,1.1817,2.38,-1.05,-0.21
-0.3785,-9.8488,1.2199,2.38,-1.19,-0.14
-0.3874,-9.8635,1.1817,2.1,-1.12,-0.21
-0.3825,-9.8341,1.2062,1.96,-1.12,0.0
-0.3825,-9.8537,1.2013,2.03,-1.12,-0.14
-0.3874,-9.8871,1.1768,2.52,-1.19,-0.21
-0.4021,-9.8684,1.1817,2.45,-1.19,0.0
-0.3874,-9.839,1.2013,2.31,-1.05,-0.14
-0.3785,-9.8635,1.1817,1.89,-1.26,0.0
-0.3825,-9.839,1.1768,2.03,-1.12,-0.07
-0.3736,-9.8684,1.1729,2.24,-1.05,-0.07
-0.3785,-9.8586,1.2013,2.59,-1.05,-0.07
-0.3736,-9.8488,1.1817,2.45,-1.26,-0.07
-0.3874,-9.8341,1.2062,2.31,-1.26,-0.07
-0.3825,-9.8341,1.2062,2.03,-1.26,-0.14
-0.4021,-9.8586,1.1817,2.1,-1.05,-0.14
-0.4021,-9.8537,1.1915,2.52,-1.26,-0.14
-0.3687,-9.8439,1.1915,2.45,-1.33,-0.07
-0.354,-9.8439,1.2062,2.24,-1.19,-0.14
-0.3825,-9.8439,1.2013,2.1,-1.26,-0.21
-0.3687,-9.8488,1.2062,1.96,-1.19,-0.07
-0.3825,-9.839,1.2013,2.1,-1.05,-0.14
-0.3687,-9.8537,1.1915,2.24,-1.26,-0.14
-0.4021,-9.8439,1.1866,2.52,-1.19,-0.07
-0.3874,-9.8684,1.2062,2.17,-1.12,-0.07
-0.3923,-9.8586,1.2062,1.89,-1.4,-0.07
-0.3785,-9.8488,1.1866,2.17,-1.12,-0.21
-0.3687,-9.8635,1.1817,2.17,-1.05,-0.07
-0.3736,-9.8724,1.2062,2.1,-1.05,-0.14
-0.3972,-9.8341,1.1915,2.52,-1.12,-0.07
-0.3923,-9.8488,1.1866,2.52,-1.19,-0.07
-0.3687,-9.8724,1.216,2.1,-1.12,-0.07
-0.3923,-9.8488,1.1631,2.31,-1.05,-0.14
-0.3825,-9.8537,1.1729,2.17,-1.12,0.07
-0.3972,-9.8724,1.2249,2.31,-1.26,-0.21
-0.3589,-9.8773,1.2013,2.52,-1.05,-0.07
-0.3923,-9.8488,1.1866,2.24,-1.12,-0.14
-0.3825,-9.8488,1.216,1.96,-1.12,0.0
-0.3736,-9.8488,1.1817,2.03,-1.12,-0.21
-0.3825,-9.8586,1.1915,2.38,-1.26,-0.14
-0.3638,-9.8586,1.1915,2.45,-1.19,-0.07
-0.4021,-9.839,1.2013,2.1,-1.26,0.0
-0.3972,-9.8684,1.2062,2.1,-1.12,-0.14
-0.4021,-9.8537,1.2062,1.89,-1.26,-0.14
-0.3972,-9.8635,1.2013,2.03,-1.33,-0.14
-0.3785,-9.8488,1.1866,2.38,-1.26,0.0
-0.407,-9.8537,1.1915,2.17,-1.05,-0.14
-0.3874,-9.839,1.1915,2.31,-1.12,-0.21
-0.3785,-9.8439,1.2013,2.24,-1.26,-0.14
-0.3825,-9.839,1.1866,2.24,-1.12,-0.21
-0.3825,-9.8635,1.1964,2.31,-1.33,-0.21
-0.3874,-9.8488,1.216,2.38,-1.19,-0.21
-0.3785,-9.8488,1.1964,2.31,-1.26,-0.14
-0.3923,-9.8439,1.2013,2.31,-1.12,-0.14
-0.3825,-9.8488,1.2062,2.24,-1.12,-0.14
-0.4119,-9.8586,1.1964,2.24,-1.12,-0.14
-0.3825,-9.8586,1.2062,2.31,-1.33,-0.07
-0.3923,-9.8586,1.2062,2.31,-1.19,-0.14
-0.3785,-9.8488,1.2062,2.24,-1.05,-0.21
-0.3825,-9.8684,1.2111,2.1,-1.12,0.0
-0.3687,-9.8537,1.1768,2.03,-1.19,0.0
-0.3785,-9.8635,1.1964,2.17,-1.05,0.0
-0.3687,-9.8439,1.1915,2.38,-1.19,-0.14
-0.3825,-9.8586,1.2013,2.24,-1.19,0.0
-0.407,-9.8537,1.216,2.24,-1.19,-0.07
-0.407,-9.8586,1.2013,2.1,-1.05,0.0
-0.3825,-9.8684,1.1915,2.24,-1.12,-0.14
-0.3874,-9.8635,1.2062,2.24,-0.98,-0.07
-0.3785,-9.8488,1.2013,2.24,-1.26,0.07
-0.3972,-9.8488,1.1915,2.31,-1.05,-0.07
-0.3638,-9.8822,1.216,1.96,-1.19,-0.14
-0.3874,-9.839,1.2013,2.03,-0.91,-0.21
-0.3972,-9.8439,1.1817,2.31,-1.05,-0.07
-0.3874,-9.8439,1.2013,2.38,-1.05,-0.49
-0.3785,-9.8635,1.1817,2.17,-1.33,-0.28
-0.4021,-9.8537,1.1915,2.24,-1.12,-0.14
-0.3785,-9.8586,1.1964,2.17,-1.26,-0.21
-0.3972,-9.8684,1.1915,2.38,-1.12,-0.07
-0.3825,-9.8341,1.1817,2.45,-1.19,-0.21
-0.3825,-9.8537,1.2013,2.45,-0.98,-0.14
-0.3736,-9.8488,1.1866,1.89,-1.26,-0.28
-0.3785,-9.8586,1.2062,1.89,-0.98,-0.28
-0.3736,-9.8586,1.1915,2.03,-1.33,-0.21
-0.3874,-9.8488,1.1915,2.38,-1.12,-0.28
-0.3638,-9.8586,1.1817,2.45,-1.19,-0.21
-0.354,-9.8488,1.2013,2.38,-1.19,-0.14
-0.3785,-9.8253,1.2111,2.1,-1.26,-0.21
-0.3972,-9.8684,1.2062,2.1,-1.33,-0.21
-0.3874,-9.8439,1.1915,2.17,-1.12,-0.21
-0.3785,-9.8724,1.1729,2.24,-1.19,-0.07
-0.3687,-9.8635,1.2062,2.45,-0.98,-0.14
-0.3785,-9.8537,1.2013,2.45,-1.05,0.0
-0.3923,-9.8773,1.1964,2.31,-1.12,-0.07
-0.3825,-9.8724,1.2013,2.17,-1.12,0.0
-0.3785,-9.8488,1.2013,2.03,-1.19,-0.07
-0.3785,-9.8684,1.1964,2.17,-1.26,0.0
-0.3874,-9.8537,1.1729,2.38,-1.19,0.07
-0.3874,-9.8537,1.2111,2.45,-1.12,0.0
-0.4021,-9.8586,1.216,2.17,-1.26,-0.14
-0.3825,-9.8586,1.2062,2.17,-0.91,-0.07
-0.3825,-9.8684,1.2199,2.03,-1.12,-0.14
-0.3736,-9.8635,1.1866,2.24,-1.12,-0.07
-0.3874,-9.8439,1.1915,2.17,-1.33,0.0
-0.3736,-9.8488,1.216,2.45,-1.12,-0.07
-0.3687,-9.8684,1.1915,2.24,-1.12,-0.14
-0.4021,-9.8684,1.1866,2.1,-1.05,-0.21
-0.3923,-9.8439,1.2111,2.1,-0.98,-0.07
-0.3825,-9.8537,1.2111,2.17,-0.98,-0.21
-0.3874,-9.8439,1.2013,2.31,-1.26,-0.07
-0.3785,-9.8439,1.2062,2.31,-1.19,-0.14
-0.3923,-9.8537,1.2111,2.38,-1.12,-0.14
-0.3785,-9.8684,1.2062,2.17,-1.12,-0.21
-0.3923,-9.8253,1.1915,2.1,-1.33,-0.07
-0.3785,-9.8586,1.2013,2.17,-1.05,-0.14
-0.3825,-9.8724,1.1866,2.45,-1.12,-0.21
-0.3785,-9.8684,1.1866,2.31,-1.26,-0.07
-0.3825,-9.8537,1.1964,2.31,-1.12,-0.14
-0.3874,-9.8684,1.2111,2.1,-1.26,-0.14
-0.3736,-9.8488,1.2062,2.03,-1.12,-0.14
-0.3638,-9.8724,1.1866,2.17,-1.05,-0.07
-0.3923,-9.8341,1.1866,2.45,-1.12,-0.21
-0.3589,-9.839,1.2062,2.38,-1.26,-0.07
-0.3785,-9.8488,1.2111,2.1,-1.26,-0.07
-0.3785,-9.8537,1.2249,2.03,-1.33,0.07
-0.3874,-9.8488,1.2199,2.03,-1.05,-0.14
-0.3825,-9.8537,1.1915,2.31,-1.19,-0.14
-0.3687,-9.8635,1.1964,2.31,-1.12,-0.14
-0.3874,-9.8586,1.2111,2.31,-1.19,-0.07
-0.3785,-9.8724,1.2013,2.17,-1.26,-0.07
-0.3874,-9.8439,1.1915,2.31,-1.26,-0.07
-0.407,-9.8724,1.1915,2.24,-1.12,-0.14
-0.3736,-9.8341,1.2013,2.17,-1.19,-0.07
-0.3736,-9.8439,1.1768,2.31,-0.98,-0.07
-0.3972,-9.8586,1.216,2.24,-1.12,-0.07
-0.3736,-9.8537,1.1964,2.1,-1.05,-0.14
-0.3923,-9.8586,1.2013,2.1,-1.19,-0.21
-0.3923,-9.8537,1.1866,2.24,-1.26,-0.07
-0.3923,-9.8635,1.1729,2.24,-1.05,-0.21
-0.3785,-9.8871,1.1817,2.24,-1.19,0.0
-0.3923,-9.8439,1.2013,2.17,-1.19,-0.21
-0.3825,-9.8586,1.1915,2.1,-1.19,-0.14
-0.3874,-9.8684,1.2013,2.24,-1.12,-0.14
-0.3687,-9.839,1.1915,2.31,-1.19,-0.14
-0.3972,-9.8488,1.216,2.38,-0.98,-0.28
-0.3785,-9.8488,1.1866,2.17,-1.19,-0.28
-0.3785,-9.8439,1.2111,2.1,-1.12,-0.07
-0.3923,-9.8684,1.1915,2.17,-1.19,-0.21
-0.3638,-9.8635,1.1964,2.03,-1.12,-0.14
-0.3923,-9.8488,1.1817,2.17,-1.19,-0.21
-0.3825,-9.8537,1.2013,2.45,-1.19,0.0
-0.3825,-9.8586,1.2062,2.24,-0.91,-0.14
-0.3785,-9.8635,1.1866,2.1,-1.19,0.0
-0.4021,-9.8302,1.1768,2.1,-1.12,-0.07
-0.3736,-9.8684,1.2013,2.17,-1.26,-0.21
-0.3825,-9.8488,1.1768,2.45,-1.19,-0.14
-0.3785,-9.8537,1.1964,2.38,-0.98,-0.14
-0.3785,-9.8822,1.1964,2.31,-1.12,0.0
-0.3972,-9.8537,1.2013,2.17,-1.05,-0.14
-0.3638,-9.8773,1.2062,2.1,-1.19,0.0
-0.3638,-9.8537,1.1915,2.31,-1.05,-0.21
-0.3589,-9.839,1.1915,2.17,-1.26,-0.07
-0.3972,-9.8586,1.1915,2.1,-1.19,0.0
-0.3785,-9.8253,1.2013,2.17,-1.12,0.0
-0.3874,-9.8586,1.2199,2.24,-1.05,-0.07
-0.3923,-9.8488,1.2013,2.17,-0.91,-0.14
-0.4021,-9.8488,1.2111,2.31,-1.05,-0.14
-0.3923,-9.8537,1.1915,2.24,-1.05,-0.14
-0.3923,-9.8684,1.1915,2.17,-1.26,-0.07
-0.3923,-9.8537,1.1768,2.31,-1.12,-0.14
-0.3785,-9.8586,1.1964,2.1,-0.98,-0.07
-0.4021,-9.8724,1.1964,2.31,-1.05,-0.07
-0.3923,-9.8684,1.1964,2.31,-1.05,-0.14
-0.3972,-9.8635,1.1915,2.1,-1.12,-0.21
-0.354,-9.8586,1.1768,2.17,-1.19,-0.07
-0.407,-9.8439,1.168,2.24,-1.26,-0.14
-0.4021,-9.8684,1.1817,2.38,-1.05,-0.21
-0.407,-9.8537,1.2013,2.24,-1.19,-0.28
-0.3736,-9.8537,1.1964,2.17,-1.12,-0.21
-0.4021,-9.8439,1.1817,2.1,-0.98,-0.14
-0.3785,-9.8586,1.1964,2.24,-1.26,-0.14
-0.3785,-9.8724,1.1964,2.24,-1.19,-0.07
-0.3825,-9.8537,1.2111,2.38,-1.19,-0.07
-0.4021,-9.8635,1.1768,2.31,-1.05,-0.21
-0.3736,-9.8488,1.2062,2.31,-1.26,0.0
-0.3736,-9.8439,1.1964,2.17,-1.19,-0.21
-0.3736,-9.8439,1.2013,2.17,-1.19,-0.14
-0.3736,-9.8635,1.2013,2.38,-1.12,-0.07
-0.3923,-9.8488,1.2062,2.38,-1.26,-0.14
-0.3785,-9.8635,1.2013,2.38,-0.98,-0.14
-0.3972,-9.8439,1.2062,2.31,-0.98,-0.07
-0.3687,-9.8586,1.2013,2.24,-1.12,-0.14
-0.3736,-9.839,1.2013,2.1,-1.19,-0.14
-0.3825,-9.8635,1.2062,2.31,-1.19,-0.07
-0.3785,-9.8773,1.2062,2.31,-1.26,-0.14
-0.4021,-9.8439,1.2062,2.31,-1.19,-0.14
-0.3874,-9.8439,1.216,2.17,-1.12,-0.14
-0.3874,-9.8586,1.1866,2.17,-1.19,-0.21
-0.3923,-9.8488,1.1915,1.96,-1.12,0.0
-0.4021,-9.8302,1.2013,2.17,-1.26,-0.07
-0.3874,-9.8439,1.2013,2.24,-1.12,0.0
-0.3972,-9.8684,1.1964,2.24,-1.26,-0.14
-0.3736,-9.8488,1.1915,2.1,-1.19,0.0
-0.3785,-9.839,1.1964,2.17,-1.05,-0.07
-0.4021,-9.8586,1.1817,2.24,-0.91,-0.07
-0.4021,-9.8488,1.1768,2.31,-1.33,-0.07
-0.3785,-9.839,1.1964,2.24,-1.05,-0.07
-0.3785,-9.8341,1.1866,2.31,-1.19,-0.07
-0.3923,-9.8488,1.1964,2.24,-1.26,-0.07
-0.3687,-9.8635,1.1866,2.1,-1.26,-0.07
-0.3638,-9.8488,1.1817,2.17,-1.05,-0.21
-0.3874,-9.8724,1.1964,2.24,-1.19,-0.07
-0.3923,-9.839,1.2062,2.17,-1.26,-0.14
-0.3825,-9.8586,1.2013,2.31,-1.4,-0.14
-0.3785,-9.8537,1.2013,2.1,-1.19,-0.07
-0.3736,-9.8488,1.2013,2.1,-0.91,-0.28
-0.3687,-9.8871,1.2013,2.24,-1.4,-0.21
-0.4021,-9.8684,1.1915,2.38,-0.98,-0.21
-0.3687,-9.8537,1.1915,2.24,-1.26,-0.07
-0.3638,-9.8341,1.1817,2.17,-1.19,-0.07
-0.3825,-9.839,1.2013,2.03,-1.26,-0.21
-0.354,-9.8635,1.1866,2.24,-0.98,-0.21
-0.3736,-9.8635,1.1866,2.45,-1.19,-0.21
-0.3923,-9.8439,1.1964,2.31,-1.12,-0.14
-0.3825,-9.8537,1.216,2.17,-1.26,-0.07
-0.3825,-9.8488,1.1964,2.17,-1.26,-0.14
-0.3825,-9.8439,1.1915,2.24,-1.19,-0.14
-0.3972,-9.8537,1.1964,2.31,-1.19,-0.07
-0.3923,-9.839,1.1866,2.24,-1.12,-0.07
-0.3874,-9.8439,1.1915,2.1,-1.4,-0.21
-0.3923,-9.8684,1.2013,2.17,-1.19,-0.07
-0.3825,-9.8488,1.1964,2.24,-1.19,-0.14
-0.3736,-9.8724,1.1915,2.24,-1.26,-0.07
-0.3923,-9.8586,1.2062,2.24,-1.19,-0.14
-0.3825,-9.8537,1.1729,2.24,-1.05,-0.07
-0.3687,-9.8537,1.1964,2.17,-1.12,-0.21
-0.3923,-9.8537,1.1817,2.31,-1.19,-0.07
-0.3736,-9.8488,1.1817,2.17,-1.19,-0.07
-0.3736,-9.8635,1.2062,2.17,-1.26,-0.14
-0.3874,-9.839,1.216,2.38,-1.12,-0.14
-0.3874,-9.8635,1.2013,2.17,-1.12,-0.14
-0.3825,-9.8586,1.1817,2.1,-1.19,-0.07
-0.3785,-9.8635,1.1964,2.31,-1.12,-0.21
-0.3638,-9.8341,1.1964,2.24,-1.19,0.0
-0.3825,-9.8635,1.2013,2.17,-1.26,-0.21
-0.3923,-9.8537,1.2013,2.31,-1.12,-0.07
-0.3972,-9.8488,1.216,2.31,-1.12,-0.14
-0.3638,-9.8635,1.1915,2.17,-1.05,-0.07
-0.407,-9.8635,1.2062,2.24,-1.05,-0.21
-0.3687,-9.8586,1.1866,2.17,-1.19,-0.07
-0.3874,-9.8773,1.1729,2.03,-1.12,-0.07
-0.3589,-9.8488,1.1964,2.17,-1.05,-0.14
-0.3874,-9.8439,1.1964,2.03,-1.19,-0.07
-0.3785,-9.8724,1.1729,2.31,-1.19,-0.14
-0.3736,-9.8635,1.2111,2.38,-1.05,-0.21
-0.3923,-9.8635,1.2199,2.24,-1.19,-0.07
-0.4021,-9.8537,1.2199,2.31,-0.98,-0.21
-0.3687,-9.8488,1.1915,2.03,-1.05,0.0
-0.3874,-9.8537,1.1817,2.1,-1.12,-0.14
-0.3923,-9.8488,1.1817,2.31,-1.05,-0.07
-0.3923,-9.8586,1.2111,2.38,-1.05,-0.14
-0.3972,-9.8635,1.1964,2.45,-1.19,-0.14
-0.3972,-9.8586,1.1817,2.1,-1.05,-0.14
-0.3785,-9.8537,1.1817,1.96,-1.26,-0.14
-0.3785,-9.8635,1.1866,2.17,-1.19,-0.14
-0.3874,-9.8635,1.1964,2.38,-0.98,-0.28
-0.3736,-9.8635,1.2013,2.59,-1.12,-0.21
-0.4021,-9.8635,1.1964,2.31,-1.12,-0.14
-0.3687,-9.8439,1.2111,2.1,-1.12,-0.21
-0.3874,-9.8773,1.2013,2.03,-1.19,-0.14
-0.3785,-9.8488,1.2013,2.24,-1.19,-0.21
-0.3785,-9.8488,1.1964,2.45,-1.05,-0.21
-0.3736,-9.8302,1.2111,2.45,-1.05,-0.14
-0.3923,-9.8537,1.216,2.17,-1.12,-0.14
-0.3638,-9.8684,1.2111,1.96,-1.19,-0.14
-0.3785,-9.8488,1.1964,2.1,-1.12,-0.07
-0.3785,-9.8773,1.2013,2.24,-1.12,-0.14
-0.3923,-9.8439,1.1915,2.31,-1.26,0.0
-0.3785,-9.8635,1.2111,2.45,-1.12,-0.14
-0.3874,-9.8488,1.2111,2.24,-1.12,-0.07
-0.3972,-9.8439,1.216,2.17,-1.26,-0.07
-0.3825,-9.8439,1.1915,2.1,-1.26,0.0
-0.3825,-9.8684,1.1866,2.1,-1.05,-0.14
-0.3874,-9.8488,1.1768,2.24,-1.12,-0.07
-0.3736,-9.8635,1.2013,2.45,-1.12,-0.14
-0.3589,-9.8822,1.2013,2.24,-1.12,0.0
-0.3923,-9.8488,1.1915,2.1,-1.19,-0.07
-0.407,-9.8537,1.2013,1.96,-1.33,-0.21
-0.3923,-9.8586,1.1866,2.24,-1.19,0.07
-0.4021,-9.8488,1.1915,2.17,-1.26,0.0
-0.3923,-9.8586,1.1729,2.31,-1.12,-0.07
-0.3923,-9.8635,1.2062,2.45,-1.05,-0.07
-0.3687,-9.8439,1.1866,2.17,-0.98,-0.14
-0.3972,-9.839,1.216,2.17,-1.05,-0.07
-0.3785,-9.8488,1.1964,2.17,-1.19,-0.14
-0.3923,-9.8684,1.1915,2.17,-1.26,-0.28
-0.3923,-9.8586,1.1964,2.1,-1.33,-0.14
-0.3736,-9.8439,1.1866,2.31,-1.19,-0.07
-0.3638,-9.8537,1.216,2.24,-1.12,-0.14
-0.3874,-9.8773,1.2062,2.24,-1.19,-0.07
-0.3874,-9.8439,1.2111,2.17,-1.05,-0.07
-0.3736,-9.8302,1.1964,2.17,-1.19,-0.14
-0.4021,-9.8635,1.1866,2.24,-1.26,-0.21
-0.3687,-9.839,1.1729,2.24,-1.33,-0.21
-0.3825,-9.8537,1.1915,2.38,-1.26,-0.21
-0.3736,-9.8586,1.2111,2.24,-1.12,-0.28
-0.3923,-9.8586,1.1768,2.1,-1.12,-0.21
-0.3687,-9.8302,1.1915,2.24,-1.33,0.0
-0.3736,-9.8684,1.2062,2.24,-1.19,-0.21
-0.3589,-9.8635,1.2062,2.03,-1.19,-0.07
-0.3687,-9.8488,1.2013,2.24,-1.05,-0.14
-0.3785,-9.8635,1.216,2.1,-1.4,-0.07
-0.3736,-9.8439,1.1964,2.17,-1.19,-0.14
-0.3736,-9.8439,1.1964,2.17,-1.19,-0.14
-0.3923,-9.8635,1.216,2.17,-1.12,-0.07
-0.3972,-9.8724,1.2111,2.31,-1.05,-0.14
-0.3923,-9.8537,1.1964,2.17,-1.19,-0.07
-0.3736,-9.8724,1.2013,2.31,-1.12,-0.21
-0.3825,-9.8586,1.2111,2.38,-1.05,-0.07
-0.3923,-9.8684,1.2199,2.24,-1.12,-0.07
-0.3736,-9.8488,1.2062,2.24,-1.12,-0.07
-0.3923,-9.8439,1.1817,2.17,-1.12,-0.14
-0.3785,-9.8586,1.2062,2.17,-1.33,-0.07
-0.3923,-9.8439,1.1964,2.17,-1.19,-0.07
-0.3736,-9.8488,1.2111,2.1,-1.19,-0.07
-0.3972,-9.8341,1.1915,2.31,-1.26,-0.14
-0.3923,-9.8537,1.216,2.24,-1.05,-0.07
-0.3825,-9.8684,1.1964,2.31,-1.26,-0.21
-0.3874,-9.8684,1.1964,2.24,-1.12,-0.14
-0.3874,-9.8684,1.2199,2.31,-1.19,-0.14
-0.3972,-9.8537,1.1866,2.31,-1.05,-0.21
-0.3874,-9.8586,1.1915,2.17,-1.19,-0.14
-0.3923,-9.8537,1.1729,2.03,-1.19,-0.07
-0.3874,-9.8537,1.168,2.17,-0.98,-0.14
-0.3972,-9.8684,1.2111,2.17,-1.33,-0.14
